query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
3291,63,16513,2359,6pmv_M16_A_803,0,surfdock,False,True,0.55500927,0.91089085,3.9204695,0,14522,8059.8447,7.8065312e-09,3.0274402
3292,63,630,90,1fsa_F6P_A_338,0,surfdock,False,True,0.55462627,0.90783254,3.3435721,0,14522,8054.2827,0.98133986,3.1487366
3293,63,1715,245,1ldo_SNR_A_150,0,surfdock,False,True,0.55462627,0.90726316,3.3513086,0,14522,8054.2827,0,3.215273
3294,63,1722,246,1ldo_SNR_B_350,0,surfdock,False,True,0.55462627,0.91152383,3.2937582,0,14522,8054.2827,0.98395114,3.1708224
3295,63,2079,297,1nuw_F6P_A_2336,0,surfdock,False,True,0.55462627,0.91463048,3.252284,0,14522,8054.2827,0,3.1148016
3296,63,6188,884,3qhd_CTN_B_165,0,surfdock,False,True,0.55462627,0.90980144,3.3169286,0,14522,8054.2827,0.97247348,3.1484207
3297,63,6804,972,3w4i_8LG_C_402,0,surfdock,False,True,0.55462627,0.90968127,3.3185496,0,14522,8054.2827,0.99651356,2.7762108
3298,63,6811,973,3w4i_8LG_D_402,0,surfdock,False,True,0.55462627,0.90968127,3.3185496,0,14522,8054.2827,0.98985977,2.1518189
3299,63,9562,1366,4ni1_2JX_A_204,0,surfdock,False,True,0.55462627,0.90913387,3.3259435,0,14522,8054.2827,0,2.6870492
3300,63,7854,1122,4cxr_2BG_A_502,0,surfdock,False,True,0.55195854,0.91090563,2.7033412,0,14522,8015.5419,0.99651084,2.716213
3301,63,10046,1435,4rp9_ASC_A_501,1,unimol,True,False,0.91101761,0.60110334,18.899261,0,8376,7630.6835,0.93065976,21.65
3302,63,15996,2285,6m5m_NAG_B_202,1,unimol,True,False,0.91991077,0.59751657,19.195717,0,8247,7586.5041,0.96075757,15.43
3303,63,2066,295,1ns4_BGC_B_2400,1,unimol,True,False,0.9215224,0.59627007,19.309366,0,8198,7554.6406,0.77234344,21.85
3304,63,9038,1291,4k5u_GAL_B_301,1,unimol,True,False,0.92219654,0.59443324,19.466703,0,8132,7499.3023,0.98416174,22.5
